Metabolite,Method,Pathway,HMDB_ID
Adenine,Untargeted Metabolomics,Purine Metabolism,HMDB0000034
Cholic acid,Targeted Metabolomics,Bile Acid Metabolism,HMDB0000619
Guanine,Untargeted Metabolomics,Purine Metabolism,HMDB0000132
Citric acid,Untargeted Lipidomics,TCA Cycle,HMDB0000094
Cholesterol,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000067
Pregnenolone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000253
Hypoxanthine,Targeted Metabolomics,Purine Metabolism,HMDB0000157
LysoPC(16:0),Untargeted Lipidomics,Lipid Metabolism,HMDB0010382
Chenodeoxycholic acid,Targeted Metabolomics,Bile Acid Metabolism,HMDB0000518
L-Carnitine,Targeted Metabolomics,Fatty Acid Oxidation,HMDB0000062
L-Alanine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000161
LysoPC(18:0),Targeted Lipidomics,Lipid Metabolism,HMDB0010384
gamma-Butyrobetaine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0001161
LysoPC(18:1),Untargeted Lipidomics,Lipid Metabolism,HMDB0002815
Pregnenolone sulfate,Targeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000774
Cer(d18:0/16:0),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0011760
Xanthine,Untargeted Metabolomics,Purine Metabolism,HMDB0000292
Choline,Untargeted Metabolomics,Lipid Metabolism,HMDB0000097
Dodecanoylcarnitine,Untargeted Lipidomics,Fatty Acid Oxidation,HMDB0002250
cis-Aconitic acid,Untargeted Lipidomics,TCA Cycle,HMDB0000072
D-Glucose,Untargeted Metabolomics,Glycolysis,HMDB0000122
Uracil,Untargeted Metabolomics,Nucleotide Metabolism,HMDB0000300
Isocitric acid,Untargeted Lipidomics,TCA Cycle,HMDB0000193
Tetradecanoylcarnitine,Untargeted Lipidomics,Fatty Acid Oxidation,HMDB0005066
Cer(d18:1/16:0),Untargeted Lipidomics,Sphingolipid Metabolism,HMDB0004949
17alpha-Hydroxypregnenolone,Untargeted Lipidomics,Steroid Hormone Biosynthesis,HMDB0000363
L-Arginine,Untargeted Metabolomics,Amino Acid Metabolism,HMDB0000517
L-Acetylcarnitine,Untargeted Metabolomics,Fatty Acid Oxidation,HMDB0000201
Glucose 6-phosphate,Targeted Lipidomics,Glycolysis,HMDB0001401
Uric acid,Targeted Metabolomics,Purine Metabolism,HMDB0000289
Glycocholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000138
Progesterone,Targeted Lipidomics,Steroid Hormone Biosynthesis,HMDB0001830
Taurocholic acid,Untargeted Metabolomics,Bile Acid Metabolism,HMDB0000036
17alpha-Hydroxyprogesterone,Untargeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000374
Glucose 1-phosphate,Targeted Lipidomics,Glycolysis,HMDB0001586
Uridine,Untargeted Lipidomics,Nucleotide Metabolism,HMDB0000296
L-Aspartic acid,Untargeted Lipidomics,Amino Acid Metabolism,HMDB0000191
11-Deoxycorticosterone,Targeted Metabolomics,Steroid Hormone Biosynthesis,HMDB0000016
